Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Jam Box by Mousse T.: AKAI, CDDA			
(Click the cell, and click the	Houseworx!: WAV/ACID, AKAI, CDDA			
hyperlink that comes up.)	Techno Trance Essentials: WAV, CDDA			
	8 Bit Stylez: AKAI, ELASTIK			
	Brazil Electro			
	Disco De Luxe: WAV, ELASTIK			
	House Essentials: WAV, CDDA			
	Essentials of the Order			
				
				
to-do: add cdda versions, add more products				
Jam Box by Mousse T.		(Released: July 1997)		
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B1HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B2HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B3HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B4HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B5HOUSE125	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B6HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C1HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C2HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C3HOUSE116	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C4HOUSE116	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C5HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C6HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> PROGRAM	PUSH ON  123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	46HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	47HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	48HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	49HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	50HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	51HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	52HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> PROGRAM	COM.TRACK123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> PROGRAM	HOUSE MIX124	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	53HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	54HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	55HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	56HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	57HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	58HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	59HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	60HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	61HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> PROGRAM	OLDSCHOOL106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	62HOUSE112	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	63HOUSE110	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	64HOUSE106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	65HOUSE106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	66HOUSE106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	67HOUSE 96	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	68HOUSE 96	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	69HOUSE 97	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	70HOUSE 97	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> PROGRAM	R I O    133	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	71HOUSE133	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	72HOUSE133	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	73HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	74HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	75HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	76HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	77HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> PROGRAM	S.BEAT   114	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	78HOUSE108	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	79HOUSE108	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	80HOUSE114	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	81HOUSE118	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	82HOUSE117	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	83HOUSE114	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	84HOUSE108	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	85HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> M HOUSE LOOP -> SAMPLE	86HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> PROGRAM	TRANSPIRT120	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> SAMPLE	87HOUSE118	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> SAMPLE	88HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> SAMPLE	89HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> SAMPLE	90HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> SAMPLE	91HOUSE100	
Ueberschall	Jam Box by Mousse T.	Partition B -> N HOUSE LOOP -> SAMPLE	92HOUSE121	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> PROGRAM	4ON FLOOR123	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A1HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A2HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A3HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A4HOUSE125	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A5HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A6HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A7HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A8HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> O HOUSE LOOP -> SAMPLE	A9HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> PROGRAM	PLASTIC T.90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> SAMPLE	01 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> SAMPLE	02 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> SAMPLE	03 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> SAMPLE	04 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> SAMPLE	05 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  A TRIP LOOP -> SAMPLE	06 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> PROGRAM	HYPNOSIS  90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	07 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	08 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	09 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	10 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	11 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	12 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	13 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  B TRIP LOOP -> SAMPLE	14 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> PROGRAM	DRUMNSPACE90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> SAMPLE	15 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> SAMPLE	16 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> SAMPLE	17 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> SAMPLE	18 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> SAMPLE	19 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  C TRIP LOOP -> SAMPLE	20 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> PROGRAM	REHEARSAL 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	21 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	22 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	23 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	24 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	25 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	26 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	27 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  D TRIP LOOP -> SAMPLE	28 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> PROGRAM	TRIPDROPS 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> SAMPLE	29 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> SAMPLE	30 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> SAMPLE	31 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> SAMPLE	32 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> SAMPLE	33 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition C ->  E TRIP LOOP -> SAMPLE	34 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> PROGRAM	TRANCETRIP90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> SAMPLE	35 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> SAMPLE	36 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> SAMPLE	37 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> SAMPLE	38 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> SAMPLE	39 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  F TRIP LOOP -> SAMPLE	40 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> PROGRAM	HARDDIVE  90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	41 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	42 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	43 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	44 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	45 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	46 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	47 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	48 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  G TRIP LOOP -> SAMPLE	49 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  H TRIP LOOP -> PROGRAM	TRIP MIX1 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  H TRIP LOOP -> SAMPLE	50 TRIP 96	
Ueberschall	Jam Box by Mousse T.	Partition D ->  H TRIP LOOP -> SAMPLE	51 TRIP 73	
Ueberschall	Jam Box by Mousse T.	Partition D ->  H TRIP LOOP -> SAMPLE	52 TRIP 89	
Ueberschall	Jam Box by Mousse T.	Partition D ->  H TRIP LOOP -> SAMPLE	53 TRIP 96	
Ueberschall	Jam Box by Mousse T.	Partition D ->  H TRIP LOOP -> SAMPLE	54 TRIP 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> PROGRAM	FASTAMIX 125	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> PROGRAM	TRIP MIX2 90	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	55 TRIP 84	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	56 TRIP 94	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	57 TRIP 94	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	58 TRIP 94	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	59 TRIP 92	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	60 TRIP125	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	61 TRIP125	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	62 TRIP125	
Ueberschall	Jam Box by Mousse T.	Partition D ->  I TRIP LOOP -> SAMPLE	63 TRIP125	
Ueberschall	Jam Box by Mousse T.	Partition D -> A JUNGLELOOP -> PROGRAM	JUNGLEMIX160	
Ueberschall	Jam Box by Mousse T.	Partition D -> A JUNGLELOOP -> SAMPLE	01JUNGL160	
Ueberschall	Jam Box by Mousse T.	Partition D -> A JUNGLELOOP -> SAMPLE	02JUNGL160	
Ueberschall	Jam Box by Mousse T.	Partition D -> A JUNGLELOOP -> SAMPLE	03JUNGL160	
