Sound Ideas	Series 2000	2001-01-01	CITY, GERMAN	GERMAN CITY: TRAFFIC, TRAIN, SIREN, AMBIENCE, FOREIGN
Sound Ideas	Series 2000	2001-02-01	RESIDENTIAL	RESIDENTIAL: BIRDS, TRAFFIC, DOGS, CHURCH BELLS, AMBIENCE
Sound Ideas	Series 2000	2001-03-01	HARBOUR, AMBIENCE	HARBOUR: WATER SOUNDS, BIRDS, MARINE
Sound Ideas	Series 2000	2001-04-01	RESIDENTIAL	RESIDENTIAL: BIRDS, DOGS, TRAFFIC IN BACKGROUND, AMBIENCE
Sound Ideas	Series 2000	2001-05-01	RESIDENTIAL	RESIDENTIAL: BIRDS, DOGS, TRAFFIC IN BACKGROUND, AMBIENCE
Sound Ideas	Series 2000	2001-06-01	COUNTRY, AMBIENCE	COUNTRY: BIRDS, COWS, ROOSTER, TRACTOR IN BACKGROUND
Sound Ideas	Series 2000	2001-07-01	COUNTRY, AMBIENCE	COUNTRY: BIRDS, CHAIN SAW IN BACKGROUND
Sound Ideas	Series 2000	2001-08-01	COUNTRY, AMBIENCE	COUNTRY: BIRDS, DOG, PLANE IN BACKGROUND
Sound Ideas	Series 2000	2001-09-01	CROWD, INDOOR	SMALL CROWD: SLOWLY ENTERING HALL, UP STEPS, FOREIGN, GERMAN, AMBIENCE, FOOTSTEPS, CONCRETE
Sound Ideas	Series 2000	2001-10-01	CROWD, INDOOR	MEDIUM CROWD, HOTEL LOBBY: FOOTSTEPS, VOICES, ELEVATOR, FOREIGN, GERMAN, AMBIENCE
Sound Ideas	Series 2000	2001-11-01	CROWD, INDOOR	MEDIUM CROWD, LOUNGE: VOICES, FOOTSTEPS, FOREIGN, GERMAN, AMBIENCE, BAR
Sound Ideas	Series 2000	2001-12-01	CROWD, INDOOR	SMALL CROWD, SHOPPING MALL: VOICES, FOOTSTEPS, TRAFFIC, FOREIGN, GERMAN, AMBIENCE, STORE
Sound Ideas	Series 2000	2001-13-01	TRAIN, STATION	GENERAL AMBIENCE: TRAINS, P.A., FOREIGN, GERMAN, SUBWAY
Sound Ideas	Series 2000	2001-14-01	AUTO, PEUGEOT	DIESEL, EXTERIOR: PASS BYS (2 VERSIONS) / PULL UP, SHUT OFF, LEAVE CAR (2 VERSIONS) / ENTER CAR, START, PULL AWAY / OPEN DOOR AND CLOSE
Sound Ideas	Series 2000	2001-15-01	AUTO, PEUGEOT	DIESEL, EXTERIOR: APPROACH, STOP, IDLE, SHUT OFF / CLOSE DOOR / OPEN TRUNK
Sound Ideas	Series 2000	2001-16-01	AUTO, GOLF GTI	GET IN, START, DRIVE AWAY, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-17-01	AUTO, GOLF GTI	PASS BY, MEDIUM, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-18-01	AUTO, GOLF GTI	APPROACH, STOP, IDLE, SHUT OFF, GET OUT, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-19-01	AUTO, GOLF GTI	PASS BY, FAST, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-20-01	AUTO, GOLF GTI	CLOSE DOOR, HORN, START, DRIVE AWAY, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-21-01	AUTO, GOLF GTI	PASS BY FAST HONKING HORN, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-22-01	AUTO, GOLF GTI	APPROACH, STOP, REV ENGINE, SHUT OFF, OPEN CLOSE DOOR, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-23-01	AUTO, GOLF GTI	FRONT HOOD: OPEN AND CLOSE, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2001-24-01	AUTO, GOLF GTI	OPEN & CLOSE HATCHBACK, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2002-01-01	AUTO, PEUGEOT, DIESEL	INTERIOR DRIVING: RADIO, SIGNALS, HORN, ETC.
Sound Ideas	Series 2000	2002-02-01	AUTO, GOLF GTI	INTERIOR: ENTER CAR, START, DRIVE, STOP, SHUT OFF, VOLKSWAGEN, VW
Sound Ideas	Series 2000	2002-03-01	SIREN, FIRE ENGINE	OFF IN DISTANCE, APPROACH AND STOP
Sound Ideas	Series 2000	2002-04-01	CHILDREN, SCHOOL	OUTDOORS: BELL, ENTER SCHOOL, IN HALLS, CROWD, FOREIGN, GERMAN, AMBIENCE
Sound Ideas	Series 2000	2002-05-01	SIREN, POLICE	START SIREN AND PULL AWAY, COMES BACK AND SHUTS OFF, FIRE, FOREIGN, AMBULANCE
Sound Ideas	Series 2000	2002-06-01	SIREN, POLICE	APPROACH AND STOP, FIRE, FOREIGN, AMBULANCE
Sound Ideas	Series 2000	2002-07-01	SIREN, POLICE	APPROACH AND PASS, FIRE, FOREIGN, AMBULANCE
Sound Ideas	Series 2000	2002-08-01	SIREN, POLICE	FROM INSIDE VEHICLE, FIRE, FOREIGN, AMBULANCE
Sound Ideas	Series 2000	2002-09-01	SIREN, POLICE	SIREN FROM STATION, FIRE, FOREIGN, AMBULANCE
Sound Ideas	Series 2000	2002-10-01	GUN, HAND GUN	COCK AND FIRE
Sound Ideas	Series 2000	2002-11-01	GUN, HAND GUN	COCK AND FIRE
Sound Ideas	Series 2000	2002-12-01	POLICE, STATION	GENERAL AMBIENCE: VOICES, PHONE, TYPEWRITER, GERMAN, OFFICE, FOREIGN
Sound Ideas	Series 2000	2002-13-01	RAIN	LIGHT, ON PAVEMENT, WEATHER
Sound Ideas	Series 2000	2002-14-01	RAIN	LIGHT, ON PAVEMENT WITH WATER SPLASH, WEATHER
Sound Ideas	Series 2000	2002-15-01	SWIMMING, POOL	INDOOR: VOICES, DIVING AND SPLASHING, GERMAN, FOREIGN, SPORTS
Sound Ideas	Series 2000	2002-16-01	SWIMMING, POOL	OUTDOOR: VOICES, DIVING AND SPLASHING, GERMAN, FOREIGN, SPORTS
Sound Ideas	Series 2000	2002-17-01	TRAFFIC, RESIDENTIAL	LIGHT TRAFFIC, GERMAN, FOREIGN, CITY
Sound Ideas	Series 2000	2002-18-01	TRAFFIC, CITY	LIGHT TRAFFIC, GERMAN, FOREIGN
Sound Ideas	Series 2000	2003-01-01	TRAFFIC, CITY	MEDIUM TRAFFIC, GERMAN, FOREIGN
Sound Ideas	Series 2000	2003-02-01	SHOPPING MALL	LARGE: VOICES AND FOOTSTEPS, GERMAN, FOREIGN, STORE, CROWD, INDOOR, AMBIENCE
Sound Ideas	Series 2000	2003-03-01	TELEPHONE, EUROPEAN	RINGING, FOREIGN, OFFICE
Sound Ideas	Series 2000	2003-04-01	TELEPHONE, EUROPEAN	RINGING, FOREIGN, OFFICE
Sound Ideas	Series 2000	2003-05-01	TELEPHONE, EUROPEAN	RINGING, FOREIGN, OFFICE
Sound Ideas	Series 2000	2003-06-01	TELEPHONE, EUROPEAN	RINGING, FOREIGN, OFFICE
Sound Ideas	Series 2000	2003-07-01	TELEPHONE, EUROPEAN	RINGING, FOREIGN, OFFICE
