Sound Ideas	Sampler Library	0101-01-01	BAGPIPES	SINGLE NOTE, G#
Sound Ideas	Sampler Library	0101-01-02	BAGPIPES	SINGLE NOTE, A#4
Sound Ideas	Sampler Library	0101-01-03	BAGPIPES	SINGLE NOTE, C5
Sound Ideas	Sampler Library	0101-01-04	BAGPIPES	SINGLE NOTE, D5
Sound Ideas	Sampler Library	0101-01-05	BAGPIPES	SINGLE NOTE, D#5
Sound Ideas	Sampler Library	0101-01-06	BAGPIPES	SINGLE NOTE, F5
Sound Ideas	Sampler Library	0101-01-07	BAGPIPES	SINGLE NOTE, G5
Sound Ideas	Sampler Library	0101-01-08	BAGPIPES	SINGLE NOTE, G#5
Sound Ideas	Sampler Library	0101-02-01	BASSOON	SINGLE NOTE, C2
Sound Ideas	Sampler Library	0101-02-02	BASSOON	SINGLE NOTE, E2
Sound Ideas	Sampler Library	0101-02-03	BASSOON	SINGLE NOTE, G2
Sound Ideas	Sampler Library	0101-02-04	BASSOON	SINGLE NOTE, B2
Sound Ideas	Sampler Library	0101-02-05	BASSOON	SINGLE NOTE, D3
Sound Ideas	Sampler Library	0101-02-06	BASSOON	SINGLE NOTE, F3
Sound Ideas	Sampler Library	0101-02-07	BASSOON	SINGLE NOTE, A3
Sound Ideas	Sampler Library	0101-02-08	BASSOON	SINGLE NOTE, C4
Sound Ideas	Sampler Library	0101-02-09	BASSOON	SINGLE NOTE, E4
Sound Ideas	Sampler Library	0101-02-10	BASSOON	SINGLE NOTE, G4
Sound Ideas	Sampler Library	0101-02-11	BASSOON	SINGLE NOTE, B4
Sound Ideas	Sampler Library	0101-02-12	BASSOON	SINGLE NOTE, D5
Sound Ideas	Sampler Library	0101-03-01	BASSOON	SINGLE NOTE, WITH VIBRATO, C2
Sound Ideas	Sampler Library	0101-03-02	BASSOON	SINGLE NOTE, WITH VIBRATO, E2
Sound Ideas	Sampler Library	0101-03-03	BASSOON	SINGLE NOTE, WITH VIBRATO, G2
Sound Ideas	Sampler Library	0101-03-04	BASSOON	SINGLE NOTE, WITH VIBRATO, B2
Sound Ideas	Sampler Library	0101-03-05	BASSOON	SINGLE NOTE, WITH VIBRATO, D3
Sound Ideas	Sampler Library	0101-03-06	BASSOON	SINGLE NOTE, WITH VIBRATO, F3
Sound Ideas	Sampler Library	0101-03-07	BASSOON	SINGLE NOTE, WITH VIBRATO, A3
Sound Ideas	Sampler Library	0101-03-08	BASSOON	SINGLE NOTE, WITH VIBRATO, C4
Sound Ideas	Sampler Library	0101-03-09	BASSOON	SINGLE NOTE, WITH VIBRATO, E4
Sound Ideas	Sampler Library	0101-03-10	BASSOON	SINGLE NOTE, WITH VIBRATO, G4
Sound Ideas	Sampler Library	0101-03-11	BASSOON	SINGLE NOTE, WITH VIBRATO, B4
Sound Ideas	Sampler Library	0101-03-12	BASSOON	SINGLE NOTE, WITH VIBRATO, D5
Sound Ideas	Sampler Library	0101-04-01	BASSOON	STACCATO NOTE, C2
Sound Ideas	Sampler Library	0101-04-02	BASSOON	STACCATO NOTE, E2
Sound Ideas	Sampler Library	0101-04-03	BASSOON	STACCATO NOTE, G2
Sound Ideas	Sampler Library	0101-04-04	BASSOON	STACCATO NOTE, B2
Sound Ideas	Sampler Library	0101-04-05	BASSOON	STACCATO NOTE, D3
Sound Ideas	Sampler Library	0101-04-06	BASSOON	STACCATO NOTE, F3
Sound Ideas	Sampler Library	0101-04-07	BASSOON	STACCATO NOTE, A3
Sound Ideas	Sampler Library	0101-04-08	BASSOON	STACCATO NOTE, C4
Sound Ideas	Sampler Library	0101-04-09	BASSOON	STACCATO NOTE, E4
Sound Ideas	Sampler Library	0101-04-10	BASSOON	STACCATO NOTE, G4
Sound Ideas	Sampler Library	0101-04-11	BASSOON	STACCATO NOTE, B4
Sound Ideas	Sampler Library	0101-04-12	BASSOON	STACCATO NOTE, D5
Sound Ideas	Sampler Library	0101-05-01	CLARINET, B FLAT	SOFT NOTE, D3
Sound Ideas	Sampler Library	0101-05-02	CLARINET, B FLAT	SOFT NOTE, F3
Sound Ideas	Sampler Library	0101-05-03	CLARINET, B FLAT	SOFT NOTE, A3
Sound Ideas	Sampler Library	0101-05-04	CLARINET, B FLAT	SOFT NOTE, C4
Sound Ideas	Sampler Library	0101-05-05	CLARINET, B FLAT	SOFT NOTE, E4
Sound Ideas	Sampler Library	0101-05-06	CLARINET, B FLAT	SOFT NOTE, G4
Sound Ideas	Sampler Library	0101-05-07	CLARINET, B FLAT	SOFT NOTE, B4
Sound Ideas	Sampler Library	0101-05-08	CLARINET, B FLAT	SOFT NOTE, D5
Sound Ideas	Sampler Library	0101-05-09	CLARINET, B FLAT	SOFT NOTE, F5
Sound Ideas	Sampler Library	0101-05-10	CLARINET, B FLAT	SOFT NOTE, A5
Sound Ideas	Sampler Library	0101-05-11	CLARINET, B FLAT	SOFT NOTE, C6
Sound Ideas	Sampler Library	0101-05-12	CLARINET, B FLAT	SOFT NOTE, E6
Sound Ideas	Sampler Library	0101-06-01	CLARINET, B FLAT	HARD NOTE, D3
Sound Ideas	Sampler Library	0101-06-02	CLARINET, B FLAT	HARD NOTE, F3
Sound Ideas	Sampler Library	0101-06-03	CLARINET, B FLAT	HARD NOTE, A3
